1,32,32,16,16,os,123,3.252
2,16,16,16,16,os,45,4.444
1,32,16,16,16,os,91,2.198
1,16,32,16,16,os,61,3.279
2,32,8,16,16,os,75,2.667
2,8,32,16,16,os,61,3.279
1,32,64,16,16,os,187,4.278
2,16,32,16,16,os,61,6.557
1,16,64,16,16,os,93,4.301
2,32,16,16,16,os,91,4.396
2,8,64,16,16,os,93,4.301
1,32,128,16,16,os,315,5.079
2,16,64,16,16,os,93,8.602
1,16,128,16,16,os,157,5.096
2,32,32,16,16,os,123,6.504
2,8,128,16,16,os,157,5.096
1,64,32,16,16,os,247,3.239
1,64,16,16,16,os,183,2.186
2,64,8,16,16,os,151,2.649
1,64,64,16,16,os,375,4.267
2,64,16,16,16,os,183,4.372
1,64,128,16,16,os,631,5.071
2,32,64,16,16,os,187,8.556
2,64,32,16,16,os,247,6.478
2,16,128,16,16,os,157,10.191
1,128,32,16,16,os,495,3.232
1,128,16,16,16,os,367,2.180
2,128,8,16,16,os,303,2.640
1,128,64,16,16,os,751,4.261
2,128,16,16,16,os,367,4.360
2,64,64,16,16,os,375,8.533
2,128,32,16,16,os,495,6.465
2,32,128,16,16,os,315,10.159
1,256,32,16,16,os,991,3.229
1,256,16,16,16,os,735,2.177
2,256,8,16,16,os,607,2.636
2,256,16,16,16,os,735,4.354
2,128,64,16,16,os,751,8.522
2,256,32,16,16,os,991,6.458
2,64,128,16,16,os,631,10.143
1,512,16,16,16,os,1471,2.175
2,512,8,16,16,os,1215,2.634
2,512,16,16,16,os,1471,4.351
2,1024,8,16,16,os,2431,2.633
4,16,16,16,16,os,45,8.889
4,32,8,16,16,os,75,5.333
4,8,32,16,16,os,61,6.557
4,16,32,16,16,os,61,13.115
4,32,16,16,16,os,91,8.791
4,8,64,16,16,os,93,8.602
4,16,64,16,16,os,93,17.204
4,32,32,16,16,os,123,13.008
4,8,128,16,16,os,157,10.191
4,64,8,16,16,os,151,5.298
4,64,16,16,16,os,183,8.743
4,32,64,16,16,os,187,17.112
4,64,32,16,16,os,247,12.955
4,16,128,16,16,os,157,20.382
4,128,8,16,16,os,303,5.281
4,128,16,16,16,os,367,8.719
4,64,64,16,16,os,375,17.067
4,128,32,16,16,os,495,12.929
4,32,128,16,16,os,315,20.317
4,256,8,16,16,os,607,5.272
4,256,16,16,16,os,735,8.707
4,128,64,16,16,os,751,17.044
4,256,32,16,16,os,991,12.916
4,64,128,16,16,os,631,20.285
4,512,8,16,16,os,1215,5.267
4,512,16,16,16,os,1471,8.702
4,1024,8,16,16,os,2431,5.265
8,16,16,16,16,os,45,17.778
8,32,8,16,16,os,75,10.667
8,8,32,16,16,os,61,13.115
8,16,32,16,16,os,61,26.230
8,32,16,16,16,os,91,17.582
8,8,64,16,16,os,93,17.204
8,16,64,16,16,os,93,34.409
8,32,32,16,16,os,123,26.016
8,8,128,16,16,os,157,20.382
8,64,8,16,16,os,151,10.596
8,64,16,16,16,os,183,17.486
8,32,64,16,16,os,187,34.225
8,64,32,16,16,os,247,25.911
8,16,128,16,16,os,157,40.764
8,128,8,16,16,os,303,10.561
8,128,16,16,16,os,367,17.439
8,64,64,16,16,os,375,34.133
8,128,32,16,16,os,495,25.859
8,32,128,16,16,os,315,40.635
8,256,8,16,16,os,607,10.544
8,256,16,16,16,os,735,17.415
8,128,64,16,16,os,751,34.088
8,256,32,16,16,os,991,25.832
8,64,128,16,16,os,631,40.571
8,512,8,16,16,os,1215,10.535
8,512,16,16,16,os,1471,17.403
8,1024,8,16,16,os,2431,10.531
1,32,256,16,16,os,571,5.604
1,16,256,16,16,os,285,5.614
2,8,256,16,16,os,285,5.614
